item_id,item_series_id,series_id,position_in_series,positional_embedding
185,Series 17_P1,Series 17,1,"[0.8414709848078965, 0.770079241795612, 0.4605636414688446, 0.9456752063756839, 0.22708824263167696, 0.987466835729271, 0.1094282421945247, 0.9971241797617003, 0.0524566586794737, 0.999340944035908, 0.025116222909773774, 0.9998490062139868, 0.012022354714795905, 0.9999654086508828, 0.005754367615745513, 0.9999920755445039, 0.002754225221179269, 0.9999981846102755, 0.0013182563567451652, 0.9999995841181433, 0.0006309573026154199, 0.9999999047269656, 0.0003019951674498205, 0.9999999781742085, 0.00014454397657126753, 0.999999995, 6.91830970367051e-05, 0.9999999988545661, 3.311311214220778e-05, 0.9999999997375962, 1.584893192394763e-05, 0.9999999999398868, 7.585775750219083e-06, 0.9999999999862289, 3.6307805476930325e-06, 0.9999999999968452, 1.7378008287485016e-06, 0.9999999999992772, 8.317637711025748e-07, 0.9999999999998345, 3.981071705534864e-07, 0.999999999999962, 1.9054607179632366e-07, 0.9999999999999913, 9.120108393559083e-08, 0.999999999999998, 4.365158322401655e-08, 0.9999999999999996, 2.0892961308540408e-08, 0.9999999999999999]"
144,Series 15_P1,Series 15,1,"[0.8414709848078965, 0.770079241795612, 0.4605636414688446, 0.9456752063756839, 0.22708824263167696, 0.987466835729271, 0.1094282421945247, 0.9971241797617003, 0.0524566586794737, 0.999340944035908, 0.025116222909773774, 0.9998490062139868, 0.012022354714795905, 0.9999654086508828, 0.005754367615745513, 0.9999920755445039, 0.002754225221179269, 0.9999981846102755, 0.0013182563567451652, 0.9999995841181433, 0.0006309573026154199, 0.9999999047269656, 0.0003019951674498205, 0.9999999781742085, 0.00014454397657126753, 0.999999995, 6.91830970367051e-05, 0.9999999988545661, 3.311311214220778e-05, 0.9999999997375962, 1.584893192394763e-05, 0.9999999999398868, 7.585775750219083e-06, 0.9999999999862289, 3.6307805476930325e-06, 0.9999999999968452, 1.7378008287485016e-06, 0.9999999999992772, 8.317637711025748e-07, 0.9999999999998345, 3.981071705534864e-07, 0.999999999999962, 1.9054607179632366e-07, 0.9999999999999913, 9.120108393559083e-08, 0.999999999999998, 4.365158322401655e-08, 0.9999999999999996, 2.0892961308540408e-08, 0.9999999999999999]"
93,Series 7_P1,Series 7,1,"[0.8414709848078965, 0.770079241795612, 0.4605636414688446, 0.9456752063756839, 0.22708824263167696, 0.987466835729271, 0.1094282421945247, 0.9971241797617003, 0.0524566586794737, 0.999340944035908, 0.025116222909773774, 0.9998490062139868, 0.012022354714795905, 0.9999654086508828, 0.005754367615745513, 0.9999920755445039, 0.002754225221179269, 0.9999981846102755, 0.0013182563567451652, 0.9999995841181433, 0.0006309573026154199, 0.9999999047269656, 0.0003019951674498205, 0.9999999781742085, 0.00014454397657126753, 0.999999995, 6.91830970367051e-05, 0.9999999988545661, 3.311311214220778e-05, 0.9999999997375962, 1.584893192394763e-05, 0.9999999999398868, 7.585775750219083e-06, 0.9999999999862289, 3.6307805476930325e-06, 0.9999999999968452, 1.7378008287485016e-06, 0.9999999999992772, 8.317637711025748e-07, 0.9999999999998345, 3.981071705534864e-07, 0.999999999999962, 1.9054607179632366e-07, 0.9999999999999913, 9.120108393559083e-08, 0.999999999999998, 4.365158322401655e-08, 0.9999999999999996, 2.0892961308540408e-08, 0.9999999999999999]"
95,Series 18_P2,Series 18,2,"[0.9092974268256817, 0.18604407728900943, 0.8176171567378667, 0.7886031919073848, 0.4423107548631735, 0.9501815033303579, 0.21754218512304058, 0.9885132597308871, 0.10476887288125773, 0.9973646448531596, 0.050216599387465206, 0.9993960704541941, 0.024042971691559313, 0.9998616369966541, 0.011508544686996618, 0.9999683023036096, 0.005508429549436851, 0.999992738447693, 0.002636510422623673, 0.999998336472919, 0.0012619143540422218, 0.9999996189078806, 0.0006039903073573545, 0.9999999126968349, 0.0002890879501225833, 0.9999999800000001, 0.0001383661937422791, 0.9999999954182647, 6.622622424810774e-05, 0.999999998950385, 3.1697863843914184e-05, 0.9999999997595471, 1.517155150000165e-05, 0.9999999999449154, 7.2615610953382025e-06, 0.9999999999873809, 3.4756016574917553e-06, 0.9999999999971091, 1.6635275422045743e-06, 0.9999999999993378, 7.962143411069097e-07, 0.9999999999998482, 3.8109214359264044e-07, 0.9999999999999653, 1.8240216787118092e-07, 0.999999999999992, 8.730316644803303e-08, 0.9999999999999982, 4.17859226170808e-08, 0.9999999999999996]"
126,Series 10_P1,Series 10,1,"[0.8414709848078965, 0.770079241795612, 0.4605636414688446, 0.9456752063756839, 0.22708824263167696, 0.987466835729271, 0.1094282421945247, 0.9971241797617003, 0.0524566586794737, 0.999340944035908, 0.025116222909773774, 0.9998490062139868, 0.012022354714795905, 0.9999654086508828, 0.005754367615745513, 0.9999920755445039, 0.002754225221179269, 0.9999981846102755, 0.0013182563567451652, 0.9999995841181433, 0.0006309573026154199, 0.9999999047269656, 0.0003019951674498205, 0.9999999781742085, 0.00014454397657126753, 0.999999995, 6.91830970367051e-05, 0.9999999988545661, 3.311311214220778e-05, 0.9999999997375962, 1.584893192394763e-05, 0.9999999999398868, 7.585775750219083e-06, 0.9999999999862289, 3.6307805476930325e-06, 0.9999999999968452, 1.7378008287485016e-06, 0.9999999999992772, 8.317637711025748e-07, 0.9999999999998345, 3.981071705534864e-07, 0.999999999999962, 1.9054607179632366e-07, 0.9999999999999913, 9.120108393559083e-08, 0.999999999999998, 4.365158322401655e-08, 0.9999999999999996, 2.0892961308540408e-08, 0.9999999999999999]"
186,Series 10_P2,Series 10,2,"[0.9092974268256817, 0.18604407728900943, 0.8176171567378667, 0.7886031919073848, 0.4423107548631735, 0.9501815033303579, 0.21754218512304058, 0.9885132597308871, 0.10476887288125773, 0.9973646448531596, 0.050216599387465206, 0.9993960704541941, 0.024042971691559313, 0.9998616369966541, 0.011508544686996618, 0.9999683023036096, 0.005508429549436851, 0.999992738447693, 0.002636510422623673, 0.999998336472919, 0.0012619143540422218, 0.9999996189078806, 0.0006039903073573545, 0.9999999126968349, 0.0002890879501225833, 0.9999999800000001, 0.0001383661937422791, 0.9999999954182647, 6.622622424810774e-05, 0.999999998950385, 3.1697863843914184e-05, 0.9999999997595471, 1.517155150000165e-05, 0.9999999999449154, 7.2615610953382025e-06, 0.9999999999873809, 3.4756016574917553e-06, 0.9999999999971091, 1.6635275422045743e-06, 0.9999999999993378, 7.962143411069097e-07, 0.9999999999998482, 3.8109214359264044e-07, 0.9999999999999653, 1.8240216787118092e-07, 0.999999999999992, 8.730316644803303e-08, 0.9999999999999982, 4.17859226170808e-08, 0.9999999999999996]"
312,Series 22_P1,Series 22,1,"[0.8414709848078965, 0.770079241795612, 0.4605636414688446, 0.9456752063756839, 0.22708824263167696, 0.987466835729271, 0.1094282421945247, 0.9971241797617003, 0.0524566586794737, 0.999340944035908, 0.025116222909773774, 0.9998490062139868, 0.012022354714795905, 0.9999654086508828, 0.005754367615745513, 0.9999920755445039, 0.002754225221179269, 0.9999981846102755, 0.0013182563567451652, 0.9999995841181433, 0.0006309573026154199, 0.9999999047269656, 0.0003019951674498205, 0.9999999781742085, 0.00014454397657126753, 0.999999995, 6.91830970367051e-05, 0.9999999988545661, 3.311311214220778e-05, 0.9999999997375962, 1.584893192394763e-05, 0.9999999999398868, 7.585775750219083e-06, 0.9999999999862289, 3.6307805476930325e-06, 0.9999999999968452, 1.7378008287485016e-06, 0.9999999999992772, 8.317637711025748e-07, 0.9999999999998345, 3.981071705534864e-07, 0.999999999999962, 1.9054607179632366e-07, 0.9999999999999913, 9.120108393559083e-08, 0.999999999999998, 4.365158322401655e-08, 0.9999999999999996, 2.0892961308540408e-08, 0.9999999999999999]"
287,Series 8_P1,Series 8,1,"[0.8414709848078965, 0.770079241795612, 0.4605636414688446, 0.9456752063756839, 0.22708824263167696, 0.987466835729271, 0.1094282421945247, 0.9971241797617003, 0.0524566586794737, 0.999340944035908, 0.025116222909773774, 0.9998490062139868, 0.012022354714795905, 0.9999654086508828, 0.005754367615745513, 0.9999920755445039, 0.002754225221179269, 0.9999981846102755, 0.0013182563567451652, 0.9999995841181433, 0.0006309573026154199, 0.9999999047269656, 0.0003019951674498205, 0.9999999781742085, 0.00014454397657126753, 0.999999995, 6.91830970367051e-05, 0.9999999988545661, 3.311311214220778e-05, 0.9999999997375962, 1.584893192394763e-05, 0.9999999999398868, 7.585775750219083e-06, 0.9999999999862289, 3.6307805476930325e-06, 0.9999999999968452, 1.7378008287485016e-06, 0.9999999999992772, 8.317637711025748e-07, 0.9999999999998345, 3.981071705534864e-07, 0.999999999999962, 1.9054607179632366e-07, 0.9999999999999913, 9.120108393559083e-08, 0.999999999999998, 4.365158322401655e-08, 0.9999999999999996, 2.0892961308540408e-08, 0.9999999999999999]"
350,Series 9_P2,Series 9,2,"[0.9092974268256817, 0.18604407728900943, 0.8176171567378667, 0.7886031919073848, 0.4423107548631735, 0.9501815033303579, 0.21754218512304058, 0.9885132597308871, 0.10476887288125773, 0.9973646448531596, 0.050216599387465206, 0.9993960704541941, 0.024042971691559313, 0.9998616369966541, 0.011508544686996618, 0.9999683023036096, 0.005508429549436851, 0.999992738447693, 0.002636510422623673, 0.999998336472919, 0.0012619143540422218, 0.9999996189078806, 0.0006039903073573545, 0.9999999126968349, 0.0002890879501225833, 0.9999999800000001, 0.0001383661937422791, 0.9999999954182647, 6.622622424810774e-05, 0.999999998950385, 3.1697863843914184e-05, 0.9999999997595471, 1.517155150000165e-05, 0.9999999999449154, 7.2615610953382025e-06, 0.9999999999873809, 3.4756016574917553e-06, 0.9999999999971091, 1.6635275422045743e-06, 0.9999999999993378, 7.962143411069097e-07, 0.9999999999998482, 3.8109214359264044e-07, 0.9999999999999653, 1.8240216787118092e-07, 0.999999999999992, 8.730316644803303e-08, 0.9999999999999982, 4.17859226170808e-08, 0.9999999999999996]"
361,Series 17_P2,Series 17,2,"[0.9092974268256817, 0.18604407728900943, 0.8176171567378667, 0.7886031919073848, 0.4423107548631735, 0.9501815033303579, 0.21754218512304058, 0.9885132597308871, 0.10476887288125773, 0.9973646448531596, 0.050216599387465206, 0.9993960704541941, 0.024042971691559313, 0.9998616369966541, 0.011508544686996618, 0.9999683023036096, 0.005508429549436851, 0.999992738447693, 0.002636510422623673, 0.999998336472919, 0.0012619143540422218, 0.9999996189078806, 0.0006039903073573545, 0.9999999126968349, 0.0002890879501225833, 0.9999999800000001, 0.0001383661937422791, 0.9999999954182647, 6.622622424810774e-05, 0.999999998950385, 3.1697863843914184e-05, 0.9999999997595471, 1.517155150000165e-05, 0.9999999999449154, 7.2615610953382025e-06, 0.9999999999873809, 3.4756016574917553e-06, 0.9999999999971091, 1.6635275422045743e-06, 0.9999999999993378, 7.962143411069097e-07, 0.9999999999998482, 3.8109214359264044e-07, 0.9999999999999653, 1.8240216787118092e-07, 0.999999999999992, 8.730316644803303e-08, 0.9999999999999982, 4.17859226170808e-08, 0.9999999999999996]"
